"","x"
"482",1
"483",1
"484",1
"485",2
"486",2
"487",2
"488",2
"489",2
"490",2
"491",2
"492",2
"493",2
"494",2
"495",2
"496",2
"497",2
"498",2
"499",1
"500",1
"501",1
"502",1
"503",1
"504",1
"505",1
"506",1
"507",1
"508",2
"509",1
"510",2
"511",1
"512",2
"513",2
"514",2
"515",2
"516",4
"517",2
"518",2
"519",2
"520",2
"521",2
"522",2
"523",2
"524",1
"525",1
"526",1
"527",2
"528",2
"529",2
"530",2
"531",2
"532",2
"533",2
"534",2
"535",2
"536",2
"537",2
"538",2
"539",2
"540",1
"541",1
"542",1
"543",1
"544",2
"545",2
"546",2
"547",2
"548",2
"549",2
"550",2
"551",4
"552",2
"553",2
"554",2
"555",2
"556",2
"557",1
"558",2
"559",2
"560",2
"561",2
"562",2
"563",2
"564",2
"565",2
"566",2
"567",2
"568",2
"569",1
"570",1
"571",1
"572",1
"573",1
"574",2
"575",1
"576",2
"577",2
"578",2
"579",2
"580",2
"581",2
"582",2
"583",2
"584",2
"585",2
"586",2
"587",2
"588",2
"589",2
"590",2
"591",1
"592",1
"593",1
"594",1
"595",1
"596",2
"597",2
"598",1
"599",1
"600",2
"601",2
"602",2
"603",2
"604",2
"605",2
"606",2
"607",2
"608",1
"609",1
"610",1
"611",2
"612",2
"613",2
"614",2
"615",2
"616",2
"617",1
"618",2
"619",2
"620",1
"621",4
"622",2
"623",1
"624",1
"625",2
"626",2
"627",2
"628",2
"629",1
"630",1
"631",2
"632",2
"633",2
"634",2
"635",2
"636",4
"637",4
"638",1
"639",1
"640",1
"641",1
"642",2
"643",2
"644",2
"645",2
"646",2
"647",2
"648",1
"649",1
"650",1
"651",1
"652",2
"653",2
"654",2
"655",1
"656",2
"657",2
"658",4
"659",2
"660",1
"661",1
"662",1
"663",2
"664",2
"665",2
"666",2
"667",2
"668",2
"669",2
"670",2
"671",2
"672",2
"673",2
"674",1
"675",1
"676",1
"677",1
"678",1
"679",1
"680",2
"681",2
"682",2
"683",1
"684",2
"685",2
"686",2
"687",2
"688",2
"689",1
"690",1
"691",1
"692",1
"693",1
"694",1
"695",2
"696",2
"697",2
"698",2
"699",2
"700",2
"701",2
"702",2
"703",2
"704",2
"705",2
"706",4
"707",4
"708",2
"709",2
"710",2
"711",2
"712",1
"713",2
"714",2
"715",2
"716",2
"717",2
"718",4
"719",4
"720",4
"721",4
"722",4
"723",4
"724",2
"725",4
"726",2
"727",2
"728",2
"729",1
"730",2
"731",2
"732",1
"733",1
"734",1
"735",2
"736",2
"737",2
"738",2
"739",2
"740",2
"741",2
"742",2
"743",1
"744",1
"745",1
"746",1
"747",1
"748",1
"749",1
"750",1
"751",1
"752",1
"753",1
"754",1
"755",1
"756",1
"757",1
"758",1
"759",1
"760",1
"761",1
"762",1
"763",1
"764",1
"765",1
"766",1
"767",1
"768",1
"769",1
"770",1
"771",1
"772",1
"773",1
"774",1
"775",1
"776",2
"777",2
"778",1
"779",1
"780",2
"781",2
"782",1
"783",1
"784",1
"785",1
"786",1
"787",4
"788",4
"789",4
"790",1
"791",1
"792",2
"793",2
"794",2
"795",2
"796",2
"797",2
"798",2
"799",2
"800",2
"801",2
"802",2
"803",2
"804",2
"805",2
"806",2
"807",2
"808",4
"809",2
"810",4
"811",1
"812",2
"813",2
"814",2
"815",1
"816",2
"817",2
"818",2
"819",2
"820",2
"821",2
"822",2
"823",2
"824",1
"825",2
"826",2
"827",2
"828",4
"829",4
"830",1
"831",2
"832",1
"833",1
"834",1
"835",2
"836",2
"837",2
"838",2
"839",2
"840",2
"841",2
"842",2
"843",2
"844",2
"845",2
"846",2
"847",1
"848",2
"849",2
"850",1
"851",2
"852",2
"853",2
"854",2
"855",2
"856",2
"857",2
"858",2
"859",2
"860",2
"861",2
"862",2
"863",2
"864",2
"865",2
"866",2
"867",2
"868",2
"869",2
"870",2
"871",2
"872",2
"873",2
"874",2
"875",2
"876",2
"877",2
"878",2
"879",2
"880",2
"881",2
"882",2
"883",2
"884",2
"885",2
"886",2
"887",2
"888",2
"889",1
"890",2
"891",2
"892",2
"893",2
"894",2
"895",2
"896",2
"897",2
"898",2
"899",2
"900",2
"901",2
"902",2
"903",2
"904",2
"905",2
"906",2
"907",2
"908",4
"909",4
"910",2
"911",2
"912",2
"913",2
"914",2
"915",1
"916",1
"917",2
"918",4
"919",1
"920",1
"921",2
"922",2
"923",2
"924",2
"925",2
"926",2
"927",2
"928",2
"929",2
"930",2
"931",1
"932",2
"933",2
"934",2
"935",2
"936",2
"937",2
"938",2
"939",2
"940",2
"941",2
"942",2
"943",2
"944",2
"945",2
"946",2
"947",2
"948",2
"949",2
"950",2
"951",2
"952",2
"953",2
"954",2
"955",2
"956",2
"957",2
"958",2
"959",2
"960",2
"961",2
"962",2
"963",2
"964",4
"965",4
"966",4
"967",4
"968",4
"969",4
"970",4
"971",4
"972",4
"973",4
"974",4
"975",2
"976",2
"977",2
"978",2
"979",2
"980",2
"981",4
"982",2
"983",2
"984",2
"985",2
"986",2
"987",2
"988",2
"989",2
"990",2
"991",2
"992",2
"993",2
"994",2
"995",2
"996",2
"997",2
"998",2
"999",2
"1000",2
"1001",2
"1002",2
"1003",2
"1004",2
"1005",2
"1006",2
"1007",1
"1008",2
"1009",2
"1010",2
"1011",2
"1012",2
"1013",1
"1014",1
"1015",2
"1016",1
"1017",2
"1018",2
"1019",1
"1020",2
"1021",2
"1022",2
"1023",1
"1024",2
"1025",1
"1026",1
"1027",2
"1028",2
"1029",1
"1030",1
"1031",1
"1032",2
"1033",2
"1034",2
"1035",2
"1036",2
"1037",2
"1038",1
"1039",2
"1040",2
"1041",2
"1042",2
"1043",2
"1044",2
"1045",2
"1046",2
"1047",2
"1048",1
"1049",2
"1050",2
"1051",1
"1052",1
"1053",2
"1054",2
"1055",2
"1056",2
"1057",2
"1058",2
"1059",2
"1060",2
"1061",2
"1062",3
"1063",1
"1064",1
"1065",2
"1066",2
"1067",2
"1068",2
"1069",2
"1070",2
"1071",2
"1072",2
"1073",2
"1074",1
"1075",1
"1076",2
"1077",2
"1078",1
"1079",1
"1080",4
"1081",4
"1082",1
"1083",1
"1084",1
"1085",2
"1086",2
"1087",2
"1088",4
"1089",4
"1090",4
"1091",4
"1092",4
"1093",4
"1094",4
"1095",4
"1096",4
"1097",4
"1098",1
"1099",2
"1100",2
"1101",2
"1102",2
"1103",1
"1104",1
"1105",1
"1106",2
"1107",2
"1108",2
"1109",2
"1110",2
"1111",1
"1112",1
"1113",1
"1114",2
"1115",1
"1116",2
"1117",2
"1118",2
"1119",2
"1120",1
"1121",1
"1122",2
"1123",1
"1124",2
"1125",2
"1126",2
"1127",2
"1128",2
"1129",2
"1130",2
"1131",1
"1132",1
"1133",2
"1134",2
"1135",2
"1136",1
"1137",2
"1138",2
"1139",2
"1140",2
"1141",2
"1142",1
"1143",2
"1144",2
"1145",1
"1146",1
"1147",1
"1148",2
"1149",2
"1150",2
"1151",2
"1152",2
"1153",2
"1154",2
"1155",2
"1156",1
"1157",1
"1158",1
"1159",1
"1160",1
"1161",2
"1162",2
"1163",2
"1164",2
"1165",4
"1166",2
"1167",2
"1168",1
"1169",2
"1170",4
"1171",2
"1172",2
"1173",2
"1174",1
"1175",1
"1176",2
"1177",4
"1178",2
"1179",2
"1180",2
"1181",2
"1182",2
"1183",2
"1184",2
"1185",2
"1186",2
"1187",2
"1188",2
"1189",2
"1190",4
"1191",4
"1192",4
"1193",4
"1194",4
"1195",4
"1196",4
"1197",4
"1198",4
"1199",4
"1200",2
"1201",2
"1202",2
"1203",2
"1204",2
"1205",2
"1206",2
"1207",2
"1208",1
"1209",2
"1210",2
"1211",2
"1212",1
"1213",1
"1214",1
"1215",2
"1216",2
"1217",2
"1218",1
"1219",1
"1220",2
"1221",2
"1222",2
"1223",2
"1224",2
"1225",4
"1226",4
"1227",2
"1228",1
"1229",1
"1230",1
"1231",2
"1232",1
"1233",1
"1234",1
"1235",1
"1236",2
"1237",2
"1238",1
"1239",2
"1240",1
"1241",1
"1242",2
"1243",2
"1244",1
"1245",1
"1246",2
"1247",2
"1248",1
"1249",1
"1250",1
"1251",1
"1252",1
"1253",2
"1254",2
"1255",2
"1256",2
"1257",2
"1258",2
"1259",4
"1260",2
"1261",2
"1262",2
"1263",1
"1264",2
"1265",2
"1266",2
"1267",2
"1268",2
"1269",2
"1270",2
"1271",2
"1272",2
"1273",2
"1274",2
"1275",2
"1276",2
"1277",2
"1278",2
"1279",2
"1280",4
"1281",4
"1282",2
"1283",2
"1284",2
"1285",2
"1286",2
"1287",2
"1288",2
"1289",2
"1290",2
"1291",2
"1292",2
"1293",2
"1294",2
"1295",2
"1296",2
"1297",2
"1298",2
"1299",2
"1300",2
"1301",2
"1302",1
"1303",1
"1304",1
"1305",2
"1306",2
"1307",1
"1308",1
"1309",1
"1310",1
"1311",2
"1312",2
"1313",2
"1314",4
"1315",4
"1316",4
"1317",4
"1318",4
"1319",4
"1320",4
"1321",4
"1322",4
"1323",4
"1324",2
"1325",2
"1326",2
"1327",2
"1328",4
"1329",4
"1330",4
"1331",1
"1332",1
"1333",1
"1334",2
"1335",2
"1336",2
"1337",2
"1338",2
"1339",2
"1340",2
"1341",1
"1342",1
"1343",2
"1344",2
"1345",2
"1346",2
"1347",2
"1348",2
"1349",2
"1350",2
"1351",1
"1352",1
"1353",2
"1354",2
"1355",2
"1356",2
"1357",2
"1358",4
"1359",2
"1360",2
"1361",2
"1362",2
"1363",1
"1364",2
"1365",1
"1366",2
"1367",2
"1368",2
"1369",4
"1370",2
"1371",2
"1372",2
"1373",1
"1374",1
"1375",4
"1376",2
"1377",2
"1378",1
"1379",2
"1380",2
"1381",1
"1382",2
"1383",2
"1384",2
"1385",2
"1386",2
"1387",2
"1388",2
"1389",2
"1390",2
"1391",1
"1392",2
"1393",2
"1394",2
"1395",1
"1396",1
"1397",1
"1398",2
"1399",2
"1400",2
"1401",2
"1402",2
"1403",1
"1404",1
"1405",1
"1406",2
"1407",1
"1408",1
"1409",1
"1410",2
"1411",2
"1412",4
"1413",4
"1414",2
"1415",2
"1416",2
"1417",2
"1418",2
"1419",2
"1420",2
"1421",2
"1422",2
"1423",2
"1424",2
"1425",2
"1426",2
"1427",2
"1428",2
"1429",1
"1430",1
"1431",1
"1432",1
"1433",1
"1434",1
"1435",2
"1436",2
"1437",2
"1438",2
"1439",2
"1440",2
"1441",4
"1442",4
"1443",2
"1444",1
"1445",1
"1446",1
"1447",1
"1448",1
"1449",2
"1450",2
"1451",2
"1452",1
"1453",1
"1454",1
"1455",2
"1456",2
"1457",1
"1458",4
"1459",1
"1460",1
"1461",1
"1462",4
"1463",4
"1464",2
"1465",2
"1466",2
"1467",2
"1468",1
"1469",2
"1470",1
"1471",1
"1472",1
"1473",2
"1474",1
"1475",2
"1476",2
"1477",2
"1478",2
"1479",2
"1480",2
"1481",2
"1482",2
"1483",2
"1484",2
"1485",1
"1486",2
"1487",2
"1488",2
"1489",2
"1490",2
"1491",2
"1492",2
"1493",2
"1494",2
"1495",1
"1496",2
"1497",2
"1498",2
"1499",2
"1500",1
"1501",2
"1502",1
"1503",1
"1504",2
"1505",2
"1506",2
"1507",2
"1508",1
"1509",2
"1510",2
"1511",1
"1512",1
"1513",1
"1514",1
"1515",1
"1516",1
"1517",2
"1518",2
"1519",2
"1520",2
"1521",2
"1522",2
"1523",2
"1524",2
"1525",2
"1526",2
"1527",2
"1528",2
"1529",2
"1530",2
"1531",2
"1532",2
"1533",2
"1534",2
"1535",2
"1536",2
"1537",2
"1538",4
"1539",4
"1540",4
"1541",2
"1542",2
"1543",2
"1544",2
"1545",2
"1546",1
"1547",1
"1548",2
"1549",1
"1550",1
"1551",2
"1552",2
"1553",2
"1554",2
"1555",2
"1556",2
"1557",2
"1558",2
"1559",2
"1560",2
"1561",2
"1562",2
"1563",2
"1564",2
"1565",2
"1566",2
"1567",2
"1568",1
"1569",1
"1570",2
"1571",1
"1572",1
"1573",2
"1574",2
"1575",2
"1576",1
"1577",1
"1578",1
"1579",1
"1580",2
"1581",2
"1582",2
"1583",2
"1584",2
"1585",2
"1586",2
"1587",2
"1588",2
"1589",4
"1590",3
"1591",1
"1592",2
"1593",2
"1594",2
"1595",2
"1596",2
"1597",2
"1598",2
"1599",2
"1600",2
"1601",2
"1602",2
"1603",2
"1604",2
"1605",2
"1606",2
"1607",2
"1608",2
"1609",2
"1610",2
"1611",2
"1612",2
"1613",2
"1614",1
"1615",2
"1616",2
"1617",2
"1618",2
"1619",1
"1620",2
"1621",2
"1622",2
"1623",2
"1624",2
"1625",2
"1626",2
"1627",2
"1628",2
"1629",2
"1630",1
"1631",2
"1632",2
"1633",2
"1634",2
"1635",2
"1636",2
"1637",2
"1638",2
"1639",2
"1640",2
"1641",2
"1642",2
"1643",2
"1644",2
"1645",2
"1646",2
"1647",2
"1648",2
"1649",2
"1650",1
"1651",1
"1652",1
"1653",1
"1654",1
"1655",1
"1656",2
"1657",2
"1658",2
"1659",1
"1660",2
"1661",2
"1662",2
"1663",1
"1664",1
"1665",2
"1666",2
"1667",1
"1668",2
"1669",2
"1670",2
"1671",2
"1672",2
"1673",2
"1674",2
"1675",1
"1676",1
"1677",1
"1678",1
"1679",2
"1680",1
"1681",2
"1682",2
"1683",4
"1684",2
"1685",2
"1686",2
"1687",2
"1688",2
"1689",2
"1690",2
"1691",1
"1692",2
"1693",2
"1694",2
"1695",2
"1696",2
"1697",2
"1698",2
"1699",2
"1700",2
"1701",2
"1702",2
"1703",2
"1704",2
"1705",2
"1706",2
"1707",2
"1708",2
"1709",1
"1710",1
"1711",2
"1712",2
"1713",2
"1714",2
"1715",2
"1716",2
"1717",2
"1718",2
"1719",2
"1720",2
"1721",2
"1722",1
"1723",1
"1724",1
"1725",1
"1726",1
"1727",1
"1728",2
"1729",1
"1730",1
"1731",1
"1732",2
"1733",2
"1734",2
"1735",2
"1736",2
"1737",2
"1738",2
"1739",1
"1740",2
"1741",2
"1742",2
"1743",2
"1744",2
"1745",1
"1746",4
"1747",4
"1748",4
"1749",2
"1750",2
"1751",2
"1752",2
"1753",1
"1754",2
"1755",2
"1756",2
"1757",2
"1758",2
"1759",2
"1760",2
"1761",2
"1762",1
"1763",1
"1764",1
"1765",1
"1766",2
"1767",2
"1768",2
"1769",2
"1770",2
"1771",2
"1772",2
"1773",2
"1774",2
"1775",2
"1776",1
"1777",1
"1778",2
"1779",2
"1780",2
"1781",1
"1782",1
"1783",2
"1784",1
"1785",1
"1786",1
"1787",1
"1788",1
"1789",1
"1790",2
"1791",2
"1792",1
"1793",1
"1794",2
"1795",2
"1796",2
"1797",2
"1798",2
"1799",1
"1800",1
"1801",2
"1802",1
"1803",4
"1804",2
"1805",2
"1806",2
"1807",2
"1808",2
"1809",2
"1810",4
"1811",4
"1812",4
"1813",1
"1814",1
"1815",2
"1816",2
"1817",2
"1818",2
"1819",1
"1820",1
"1821",2
"1822",2
"1823",2
"1824",1
"1825",2
"1826",4
"1827",4
"1828",2
"1829",1
"1830",2
"1831",1
"1832",1
"1833",1
"1834",2
"1835",2
"1836",4
"1837",4
"1838",2
"1839",2
"1840",2
"1841",2
"1842",1
"1843",2
"1844",2
"1845",2
"1846",1
"1847",2
"1848",2
"1849",2
"1850",1
"1851",1
"1852",1
"1853",2
"1854",2
"1855",2
"1856",2
"1857",2
"1858",1
"1859",2
"1860",1
"1861",2
"1862",2
"1863",2
"1864",2
"1865",2
"1866",2
"1867",2
"1868",2
"1869",1
"1870",2
"1871",1
"1872",2
"1873",2
"1874",2
"1875",1
"1876",1
"1877",2
"1878",2
"1879",2
"1880",2
"1881",2
"1882",1
"1883",1
"1884",1
"1885",1
"1886",1
"1887",1
"1888",2
"1889",2
"1890",2
"1891",2
"1892",2
"1893",1
"1894",1
"1895",2
"1896",2
"1897",2
"1898",2
"1899",2
"1900",1
"1901",2
"1902",2
"1903",2
"1904",2
"1905",2
"1906",2
"1907",2
"1908",2
"1909",2
"1910",2
"1911",2
"1912",2
"1913",1
"1914",4
"1915",2
"1916",2
"1917",2
"1918",2
"1919",1
"1920",1
"1921",1
"1922",1
"1923",1
"1924",1
"1925",2
"1926",2
"1927",2
"1928",2
"1929",2
"1930",2
"1931",1
"1932",1
"1933",1
"1934",1
"1935",2
"1936",2
"1937",2
"1938",2
"1939",2
"1940",1
"1941",1
"1942",2
"1943",2
"1944",2
"1945",2
"1946",1
"1947",1
"1948",1
"1949",1
"1950",2
"1951",2
"1952",2
"1953",1
"1954",1
"1955",1
"1956",4
"1957",2
"1958",2
"1959",1
"1960",2
"1961",2
"1962",2
"1963",2
"1964",1
"1965",1
"1966",1
"1967",2
"1968",1
"1969",2
"1970",2
"1971",2
"1972",2
"1973",2
"1974",2
"1975",2
"1976",1
"1977",1
"1978",1
"1979",1
"1980",1
"1981",2
"1982",2
"1983",2
"1984",2
"1985",2
"1986",2
"1987",2
"1988",2
"1989",2
"1990",2
"1991",2
"1992",1
"1993",1
"1994",1
"1995",4
"1996",4
"1997",2
"1998",2
"1999",2
"2000",2
"2001",2
"2002",2
"2003",2
"2004",4
"2005",4
"2006",4
"2007",4
"2008",4
"2009",2
"2010",1
"2011",1
"2012",2
"2013",2
"2014",2
"2015",2
"2016",1
"2017",2
"2018",2
"2019",2
"2020",1
"2021",2
"2022",2
"2023",2
"2024",2
"2025",2
"2026",1
"2027",1
"2028",1
"2029",2
"2030",2
"2031",2
"2032",2
"2033",2
"2034",2
"2035",2
"2036",2
"2037",2
"2038",2
"2039",1
"2040",1
"2041",1
"2042",2
"2043",2
"2044",1
"2045",1
"2046",2
"2047",2
"2048",2
"2049",2
"2050",4
"2051",4
"2052",2
"2053",2
"2054",2
"2055",2
"2056",2
"2057",2
"2058",2
"2059",2
"2060",2
"2061",2
"2062",1
"2063",1
"2064",2
"2065",2
"2066",2
"2067",2
"2068",2
"2069",2
"2070",2
"2071",2
"2072",2
"2073",2
"2074",2
"2075",2
"2076",2
"2077",2
"2078",2
"2079",2
"2080",2
"2081",2
"2082",2
"2083",4
"2084",4
"2085",4
"2086",2
"2087",2
"2088",2
"2089",2
"2090",2
"2091",2
"2092",2
"2093",2
"2094",2
"2095",2
"2096",2
"2097",2
"2098",2
"2099",2
"2100",2
"2101",2
"2102",2
"2103",2
"2104",1
"2105",2
"2106",1
"2107",2
"2108",2
"2109",2
"2110",2
"2111",2
"2112",2
"2113",2
"2114",2
"2115",2
"2116",2
"2117",2
"2118",2
"2119",2
"2120",2
"2121",2
"2122",1
"2123",1
"2124",1
"2125",1
"2126",2
"2127",2
"2128",2
"2129",2
"2130",2
"2131",2
"2132",2
"2133",2
"2134",2
"2135",2
"2136",2
"2137",2
"2138",2
"2139",4
"2140",1
"2141",1
"2142",1
"2143",1
"2144",1
"2145",1
"2146",2
"2147",2
"2148",2
"2149",2
"2150",2
"2151",2
"2152",2
"2153",2
"2154",2
"2155",2
"2156",2
"2157",2
"2158",2
"2159",2
"2160",1
"2161",2
"2162",2
"2163",2
"2164",2
"2165",2
"2166",2
"2167",2
"2168",1
"2169",1
"2170",2
"2171",2
"2172",2
"2173",2
"2174",2
"2175",2
"2176",2
"2177",2
"2178",2
"2179",2
"2180",2
"2181",2
"2182",2
"2183",4
"2184",4
"2185",4
"2186",2
"2187",2
"2188",2
"2189",2
"2190",1
"2191",1
"2192",1
"2193",1
"2194",1
"2195",1
"2196",1
"2197",2
"2198",2
"2199",2
"2200",2
"2201",2
"2202",2
"2203",2
"2204",1
"2205",1
"2206",1
"2207",1
"2208",1
"2209",1
"2210",2
"2211",2
"2212",1
"2213",1
"2214",2
"2215",2
"2216",2
"2217",2
"2218",4
"2219",2
"2220",2
"2221",2
"2222",2
"2223",2
"2224",2
"2225",2
"2226",2
"2227",2
"2228",2
"2229",1
"2230",2
"2231",2
"2232",2
"2233",2
"2234",2
"2235",2
"2236",2
"2237",2
"2238",2
"2239",1
"2240",1
"2241",2
"2242",2
"2243",2
"2244",2
"2245",2
"2246",2
"2247",2
"2248",2
"2249",2
"2250",2
"2251",2
"2252",1
"2253",2
"2254",2
"2255",2
"2256",4
"2257",1
"2258",1
"2259",2
"2260",2
"2261",1
"2262",1
"2263",2
"2264",2
"2265",2
"2266",2
"2267",4
"2268",2
"2269",2
"2270",2
"2271",2
"2272",2
"2273",2
"2274",4
"2275",2
"2276",2
"2277",2
"2278",2
"2279",2
"2280",1
"2281",2
"2282",2
"2283",2
"2284",1
"2285",2
"2286",2
"2287",2
"2288",2
"2289",1
"2290",2
"2291",2
"2292",2
"2293",2
"2294",2
"2295",2
"2296",2
"2297",2
"2298",2
"2299",2
"2300",2
"2301",2
"2302",2
"2303",2
"2304",2
"2305",2
"2306",2
"2307",2
"2308",2
"2309",2
"2310",2
"2311",2
"2312",2
"2313",2
"2314",2
"2315",2
"2316",2
"2317",2
"2318",2
"2319",2
"2320",2
"2321",2
"2322",2
"2323",1
"2324",1
"2325",1
"2326",2
"2327",1
"2328",2
"2329",1
"2330",2
"2331",2
"2332",2
"2333",1
"2334",2
"2335",1
"2336",1
"2337",2
"2338",2
"2339",2
"2340",1
"2341",1
"2342",2
"2343",2
"2344",1
"2345",2
"2346",2
"2347",2
"2348",2
"2349",2
"2350",2
"2351",2
"2352",2
"2353",2
"2354",1
"2355",1
"2356",1
"2357",2
"2358",2
"2359",2
"2360",2
"2361",2
"2362",2
"2363",2
"2364",2
"2365",2
"2366",4
"2367",2
"2368",2
"2369",2
"2370",2
"2371",2
"2372",2
"2373",2
"2374",2
"2375",2
"2376",2
"2377",2
"2378",2
"2379",2
"2380",2
"2381",2
"2382",1
"2383",2
"2384",4
"2385",4
"2386",4
"2387",2
"2388",2
"2389",2
"2390",2
"2391",2
"2392",2
"2393",2
"2394",2
"2395",2
"2396",2
"2397",4
"2398",4
"2399",2
"2400",2
"2401",2
"2402",2
"2403",2
"2404",2
"2405",2
"2406",2
"2407",1
"2408",1
"2409",1
"2410",1
"2411",1
"2412",1
"2413",1
"2414",1
"2415",1
"2416",1
"2417",1
"2418",1
"2419",1
"2420",1
"2421",1
"2422",1
"2423",1
"2424",1
"2425",1
"2426",1
"2427",1
"2428",1
"2429",1
"2430",1
"2431",1
"2432",1
"2433",1
"2434",1
"2435",1
"2436",1
"2437",1
"2438",1
"2439",1
"2440",1
"2441",1
"2442",1
"2443",1
"2444",1
"2445",1
"2446",1
"2447",1
"2448",1
"2449",1
"2450",1
"2451",1
"2452",1
"2453",1
"2454",1
"2455",1
"2456",1
"2457",1
"2458",1
"2459",1
"2460",1
"2461",1
"2462",1
"2463",1
"2464",1
"2465",1
"2466",1
"2467",1
"2468",1
"2469",1
"2470",1
"2471",1
"2472",1
"2473",1
"2474",1
"2475",1
"2476",1
"2477",1
"2478",1
"2479",1
"2480",1
"2481",1
"2482",1
"2483",1
"2484",1
"2485",1
"2486",1
"2487",1
"2488",1
"2489",1
"2490",1
"2491",1
"2492",1
"2493",1
"2494",1
"2495",1
"2496",1
"2497",2
"2498",2
